scorer,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000
bodyparts,left-eye-outer,left-eye-outer,left-eye-outer,left-eye-inner,left-eye-inner,left-eye-inner,right-eye-outer,right-eye-outer,right-eye-outer,right-eye-inner,right-eye-inner,right-eye-inner
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,271.58598351478577,61.63528060913086,1.0,245.8553032875061,51.136066913604736,1.0,58.13409435749054,63.917476654052734,1.0,77.66953563690186,51.657018184661865,1.0
1,271.26469254493713,61.378292083740234,1.0,245.49211859703064,50.9671893119812,1.0,58.25922775268555,63.80358600616455,1.0,77.62934970855713,50.64391469955444,1.0
2,271.43865871429443,60.9848690032959,1.0,246.20610761642456,50.825069427490234,1.0,58.041141390800476,63.51866054534912,1.0,77.7158260345459,50.107524394989014,1.0
3,271.4537515640259,60.371121406555176,1.0,246.0193419456482,50.758944034576416,1.0,58.03131425380707,63.41455364227295,1.0,77.7766752243042,50.17279624938965,1.0
4,271.67428374290466,60.336060523986816,1.0,246.02847361564636,50.93032264709473,1.0,58.18218815326691,63.76669502258301,1.0,77.63804817199707,50.57432413101196,1.0
5,271.8875541687012,60.34630584716797,1.0,245.77533626556396,51.10106563568115,1.0,58.36250579357147,64.07897567749023,1.0,77.51959037780762,51.08692264556885,1.0
6,271.9740662574768,60.55418014526367,1.0,246.1894247531891,50.81062602996826,1.0,58.159263014793396,63.7509822845459,1.0,77.6376724243164,50.92135524749756,1.0
7,272.0450391769409,60.28665542602539,1.0,245.9212704896927,51.052063941955566,1.0,58.23667848110199,64.2562484741211,1.0,77.65449237823486,50.683613777160645,1.0
8,271.78813338279724,60.330323219299316,1.0,245.8359179496765,50.89152765274048,1.0,58.23340964317322,64.29031467437744,1.0,76.93551826477051,50.99209213256836,1.0
9,272.13104724884033,60.56390190124512,1.0,245.51601386070251,51.2347846031189,1.0,58.34006440639496,64.29528903961182,1.0,76.96849536895752,51.221378803253174,1.0
10,272.30365800857544,60.14348888397217,1.0,245.8440738916397,51.154573917388916,1.0,58.30575251579285,64.37697315216064,1.0,77.1257095336914,51.40548086166382,1.0
